22:30:47 | INFO    | train_LSTM_baseline | epoch  28 | train_log_mse=0.106139 | val_mse_raw=0.00004220 | best=0.00004220
22:30:47 | INFO    | train_LSTM_baseline | epoch  29 | train_log_mse=0.105829 | val_mse_raw=0.00004197 | best=0.00004197
22:30:48 | INFO    | train_LSTM_baseline | epoch  30 | train_log_mse=0.107700 | val_mse_raw=0.00004203 | best=0.00004197
22:30:48 | INFO    | train_LSTM_baseline | epoch  31 | train_log_mse=0.107250 | val_mse_raw=0.00004304 | best=0.00004197
22:30:49 | INFO    | train_LSTM_baseline | epoch  32 | train_log_mse=0.105747 | val_mse_raw=0.00004269 | best=0.00004197
22:30:49 | INFO    | train_LSTM_baseline | epoch  33 | train_log_mse=0.103707 | val_mse_raw=0.00004285 | best=0.00004197
22:30:50 | INFO    | train_LSTM_baseline | epoch  34 | train_log_mse=0.101581 | val_mse_raw=0.00004241 | best=0.00004197
22:30:50 | INFO    | train_LSTM_baseline | epoch  35 | train_log_mse=0.103015 | val_mse_raw=0.00004277 | best=0.00004197
22:30:51 | INFO    | train_LSTM_baseline | epoch  36 | train_log_mse=0.102297 | val_mse_raw=0.00004265 | best=0.00004197
22:30:51 | INFO    | train_LSTM_baseline | epoch  37 | train_log_mse=0.102280 | val_mse_raw=0.00004278 | best=0.00004197
22:30:52 | INFO    | train_LSTM_baseline | epoch  38 | train_log_mse=0.101792 | val_mse_raw=0.00004262 | best=0.00004197
22:30:52 | INFO    | train_LSTM_baseline | epoch  39 | train_log_mse=0.101070 | val_mse_raw=0.00004157 | best=0.00004157
22:30:53 | INFO    | train_LSTM_baseline | epoch  40 | train_log_mse=0.100543 | val_mse_raw=0.00004241 | best=0.00004157
22:30:55 | INFO    | train_LSTM_baseline | epoch   1 | train_log_mse=1.007899 | val_mse_raw=0.00004154 | best=0.00004154
22:30:57 | INFO    | train_LSTM_baseline | epoch   2 | train_log_mse=0.127534 | val_mse_raw=0.00004042 | best=0.00004042
